N,wr_fields,sf_odd,sf_ratio,pair_total,pair_ratio,ford_shape
1000,78,404,0.19306930693069307,544,0.544,0.31515856160494576
3000,227,1214,0.18698517298187808,1636,0.5453333333333333,0.27865755515005425
10000,771,4056,0.1900887573964497,5472,0.5472,0.24967677977492697
30000,2286,12161,0.18797796233862346,16445,0.5481666666666667,0.22957025561160635
100000,7498,40527,0.1850124608285834,54864,0.54864,0.2121542428221917
300000,22189,121585,0.18249784101657276,164680,0.5489333333333334,0.1992453410372198
1000000,73246,405286,0.18072669670306896,549108,0.549108,0.18748073113012553
3000000,216963,1215844,0.17844641253318683,1647566,0.5491886666666667,0.17839573397844158
10000000,713892,4052875,0.17614458871788546,5492400,0.54924,0.16983654931411732
30000000,2121495,12158561,0.17448569777295192,16478025,0.5492675,0.16304038135645066
100000000,6991345,40528460,0.17250458073166364,54928552,0.54928552,0.1564864497817233
